Link,Location Name,Host Name,Address,Phone Number,Web Site,Review Count
https://www.peerspace.com/pages/listings/6237642010274c002145c375,All-Inclusive Spacious Downtown Loft Studio and Event Space,Zara I.,"Downtown, Baltimore, MD",,,0
https://www.peerspace.com/pages/listings/624dbf56eee98f000f54cf62,A Historical Brownstone in Mt. Vernon - Baltimore,Samuel G.,"Downtown, Baltimore, MD",,,0
https://www.peerspace.com/pages/listings/5d88c2e5b5d744000e1d8c0e,Naturally Lit 8-Person Conference Room 300,Scott D.,"Hanover, MD",,,0
https://www.peerspace.com/pages/listings/5d84ebe4b5d744000e1d0dec,Versatile 40-Person Conference and Training Center 310,Scott D.,"Hanover, MD",,,1
https://www.peerspace.com/pages/listings/625fc318773592000fdc52f5,"Exquisite Estate with Pool Resort, Outdoor Lounge Area & More!",Heather S.,"Zachary, LA",,,0
https://www.peerspace.com/pages/listings/62392b2d10274c0021461067,Beautiful Open Layout Apartment - Photoshoot or Meeting Space,Vicky L.,"Bayonne, NJ",,,1
https://www.peerspace.com/pages/listings/623a2a81f7f2760021884f07,Modern Chic with the best view in Manhattan,Arabella N.,"Financial District, New York, NY",,,1
https://www.peerspace.com/pages/listings/6258fba7d7842d000ef457f2,Large Gorgeous Modern Event Space with Beautiful Outdoor Patio,Todd J.,"Belleville, NJ",,,0
https://www.peerspace.com/pages/listings/6248e59a4a44c2000e1f48f7,Well Decorated Space Perfect for You Creative Project,Victoria Z.,"Chinatown, New York, NY",,,0
https://www.peerspace.com/pages/listings/623f67c7f7f27600218932a8,1850 Historic NYC Landmark Villa,Suki H.,"Mariners Harbor, Richmond County, NY",,,2
https://www.peerspace.com/pages/listings/623a3f4ef7f27600218857fe,#FarmhouseChic Quaint brownstone on NJ Gold Coast with backyard & firepit,Lily B.,"Guttenberg, NJ",,,0
https://www.peerspace.com/pages/listings/624b2ab52374b6000f33d36f,"High-end Open Space, Live Plant Wall and Exposed Brick",Jennifer D.,"North Ironbound, Newark, NJ",,,0
https://www.peerspace.com/pages/listings/62433e6128369a000f284ad1,Mid-Century Modern Coffee House,Dante P.,"Greenwich Village, New York, NY",,,0
https://www.peerspace.com/pages/listings/623df491f7f27600218905a7,Beautiful Light-filled Soho Studio/Loft with City Views,Cassidy C.,"Nolita, New York, NY",,,0
https://www.peerspace.com/pages/listings/624b7ef32374b6000f33eb17,Upscale Penthouse with bar area and 2 balconies,Tamika S.,"Beachwood, OH",,,0
https://www.peerspace.com/pages/listings/624601de2374b6000f3318ed,Beautifully Remodeled Lounge,Stephanie J.,"Triple Creek, Beaverton, OR",,,0
https://www.peerspace.com/pages/listings/6227d815f7f276002184ad10,Stunning Modern Home Overlooking Forest Park,Kathryn N.,"Northwest Heights, Portland, OR",,,0
https://www.peerspace.com/pages/listings/62338ac510274c0021454185,Beautifully Remodel Lounge,Stephanie J.,"Central Beaverton, Beaverton, OR",,,0
https://www.peerspace.com/pages/listings/6254f407f4033e000e3dd7e1,Custom 70s Home Set in the Woods with Landscaped Vistas and Walking Paths,Suzanne S.,"Mercer Island, WA",,,0
https://www.peerspace.com/pages/listings/624f75f0f4033e000e3cc612,Historic Lakeside Event Venue,Elizabeth N.,"West Lake Sammamish, Bellevue, WA",,,0
https://www.peerspace.com/pages/listings/610475a7f178f7000c47ec95,"Corporate events with the magic of open spaces surrounded with water and a magical willow tree. Wake surfing, lake tours, watch the sunset ... use your imagination!",Susan M.,"Newport, Bellevue, WA",,,0
https://www.peerspace.com/pages/listings/61d3bda1bdb172000d34eefe,Suburban Meeting and Event Space,Terolyn P.,"Paramount, CA",,,0
https://www.peerspace.com/pages/listings/624131b4f7f2760021895e8e,Centrally located Lakewood Home,Jaycee A.,"Lakewood, CA",,,0
https://www.peerspace.com/pages/listings/6232e98ef7f27600218730b1,Modern & Comfy ~ 30min to DC ~ Royal Beds ~ Pkg,Andre T.,"Greenbelt, MD",,,0
https://www.peerspace.com/pages/listings/5e4c30ff1657b6000df1af97,Very Affordable Conference Room,Lisa S.,"Beltsville, MD",,,0
https://www.peerspace.com/pages/listings/625fa301694aba000f0e2d40,Light-Filled Design Studio,Angelo D.,"Potrero Hill, San Francisco, CA",,,7
https://www.peerspace.com/pages/listings/5f0a1527728f17000c0a0b4b,White Swan Patio,Louis K.,"Lower Nob Hill, San Francisco, CA",,,7
https://www.peerspace.com/pages/listings/5c80612cdb29c2000ec62d0d,Historic High Rise Penthouse Perched Above the SOMA and Mission,Tinisha L.,"Mission District, San Francisco, CA",,,3
https://www.peerspace.com/pages/listings/5f2238488aff7e000d077df4,"Brooklyn Style Industrial Studio Space with Exposed Brick, Wood Floors and High Rafter Ceilings",Alex C.,"Allentown, PA",,,2
https://www.peerspace.com/pages/listings/6238d15ef7f276002187fca7,Private Office Located in Bethlehem,Terrance B.,"South Side Historic District, Bethlehem, PA",,,0
https://www.peerspace.com/pages/listings/6238d176f7f276002187fcd4,Modern Private Office,Terrance B.,"South Side Historic District, Bethlehem, PA",,,0
https://www.peerspace.com/pages/listings/6238d187f7f276002187fce4,Small Open Space Private Office,Terrance B.,"South Side Historic District, Bethlehem, PA",,,0
https://www.peerspace.com/pages/listings/5ff4bdebe7bcbe000c9b1b84,Bethlehem Industrial Park Multipurpose Studio Space,JohnDerek D.,"Bethlehem, PA",,,0
https://www.peerspace.com/pages/listings/6230c11210274c0021448671,"Small Modern Meeting, Conference, or Interview Room",Terrance B.,"South Side Historic District, Bethlehem, PA",,,0
https://www.peerspace.com/pages/listings/6230c0f610274c0021448661,Conference/Meeting Room in South Side Arts District,Terrance B.,"South Side Historic District, Bethlehem, PA",,,0
https://www.peerspace.com/pages/listings/6238d1ab10274c002145f692,Large Modern Private Office,Terrance B.,"South Side Historic District, Bethlehem, PA",,,0
https://www.peerspace.com/pages/listings/6238d1bb10274c002145f6a2,Open Floor-plan Private Office,Terrance B.,"South Side Historic District, Bethlehem, PA",,,0
https://www.peerspace.com/pages/listings/6238d1d0f7f276002187fcfb,"Modern Private Office Located in Bethlehem, PA",Terrance B.,"South Side Historic District, Bethlehem, PA",,,0
https://www.peerspace.com/pages/listings/6230c0def7f276002186a449,"Large Conference/Meeting Room Located in Bethlehem, PA",Terrance B.,"South Side Historic District, Bethlehem, PA",,,0
https://www.peerspace.com/pages/listings/624608962374b6000f331a54,The Collective Space - Industrial Content Production Studio,Liz V.,"McManus, Culver City, CA",,,2
https://www.peerspace.com/pages/listings/6259e734d7842d000ef4823c,Internal Office Space in the Heart of LA!,Sarah U.,"Central LA, Los Angeles, CA",,,0
https://www.peerspace.com/pages/listings/6254ac9ff4033e000e3dbea4,Office Space with Desks for One Company or Co-working Space,Taylor K.,"Central LA, Los Angeles, CA",,,0
https://www.peerspace.com/pages/listings/624e2d9beee98f000f54f0a7,Sherman Oaks Spiritual Outdoor Event Space,Eleonora T.,"Studio City, Los Angeles, CA",,,0
https://www.peerspace.com/pages/listings/6238fdc310274c00214601f8,Studio City Organic Retreat Estate,Des T.,"Studio City, Los Angeles, CA",,,0
